a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.54+10+gd07621b-1
acl 2.2.53-1
acpi_call 1.1.0-204
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adobe-source-sans-pro-fonts 2.045ro+1.095it-1
adwaita-icon-theme 3.32.0-1
aic94xx-firmware 30-9
albert 0.16.1-1
alsa-lib 1.1.8-1
alsa-plugins 1.1.8-1
aom 1.0.0-1
apache 2.4.39-1
apm 2.1.7-1
appeditor-git r67.8fbd304-1
apr 1.6.5-1
apr-util 1.6.1-5
archlinux-keyring 20190123-2
argon2 20171227-3
aribb24 1.0.3-2
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
atom 1.36.0-1
attr 2.4.48-1
audit 2.8.4-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-1
baobab 3.32.0-1
bash 5.0.003-1
battop 0.2.1-1
bind-tools 9.14.0-1
binutils 2.31.1-4
bison 3.3.2-1
bluez 5.50-6
bluez-libs 5.50-6
bmon 4.0-3
bolt 0.7-2
boost-libs 1.69.0-2
bridge-utils 1.6-3
brltty 6.0-2
brotli 1.0.7-1
btrfs-progs 4.20.2-1
bubblewrap 0.3.1-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.43-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
cheese 3.32.1-1
chromaprint 1.4.3-2
chrome-gnome-shell 10.1-2
cifs-utils 6.8-2
clutter 1.26.2-2
clutter-gst 3.0.27-1
clutter-gtk 1.8.4-1
cogl 1.22.2+22+ge023a361-1
colord 1.4.4-1
colord-gtk 0.1.26+5+ga9d9c91-2
confuse 3.2.2-1
containerd 1.2.6-1
coreutils 8.31-1
cracklib 2.9.6-3
cronie 1.5.4-1
cryptsetup 2.1.0-1
cups-pk-helper 0.2.6-3
curl 7.64.1-2
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.32.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.184-3
dhcpcd 7.0.8-1
diffutils 3.7-1
discord 0.0.9-1
dkms 2.5-4
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docker 1:18.09.5-1
dosfstools 4.1-2
dotconf 1.3-5
double-conversion 3.1.4-1
dropbox 70.4.93-1
